name;unit1;unit2
TZAMI ΛΕΥΚΟ + ΠΛΑΤΗ;21;0,4
TZAMI ΜΑΤ + ΠΛΑΤΗ;25;0,4
ΤΖΑΜΙ AR70 + ΠΛΑΤΗ;118;0,4
ΤΖΑΜΙ AR99 + ΠΛΑΤΗ;248;0,4
PLEXIGLASS 1mm + ΠΛΑΤΗ;20,6;0,4
PLEXIGLASS 2mm + ΠΛΑΤΗ;31;0,4
PLEXIGLASS 3mm + ΠΛΑΤΗ;41,5;0,4
MONO TZAMI ΛΕΥΚΟ;13;0,4
ΜΟΝΟ ΤΖΑΜΙ ΜΑΤ;17;0,4
ΜΟΝΟ ΠΛΑΤΗ 2,5mm;8;0,4
ΜΟΝΟ ΠΛΑΤΗ 3mm;11;0,4
MONO ΠΛΑΤΗ 4mm;14,7;0,4
;;
;;
;;
;;
;;
;;
