name;wholesale;stampless;wholesaleplus;retail
ΤΕΛΑΡΩΜΑ 1525;4,5;4,5;4,5;9
ΤΕΛΑΡΩΜΑ 2035;5;5;5;10
ΤΕΛΑΡΩΜΑ 2040;5,5;5,5;5,5;11
ΤΕΛΑΡΩΜΑ 2535;6;6;6;12
ΤΕΛΑΡΩΜΑ 3040 ;7;7;7;14
