reference;unit;wholesae price;stampless price;wholesale plus price;retail price
5247;54;7,6;7;11,4;19
525;37;9,85;9,15;14,78;24,625
528;50;13,45;12,5;20,18;33,625
5319;36;8,3;7,65;12,45;20,75
5326;52;8,4;7,7;12,6;21
5417;39;7,2;6,6;10,8;18
5422;38;8,85;8,1;13,28;22,125
5443;54;7;6,4;10,5;17,5
5530;40;13,4;12,35;20,1;33,5
5535;37;12,8;11,75;19,2;32
5555;24;22,05;20,3;33,08;55,125
556;63;8,7;8;13,05;21,75
557;28;4,8;4,4;7,8;12
56;8;3;2,75;6;7,5
566(0770-0773);39;17,7;16,25;26,55;44,25
566(1ΒΑ);74;23,2;21,3;34,8;58
5740;40;12,45;11,1;18,68;31,125
6040;42;16,9;15,5;25,35;42,25
605;57;11,7;10,8;17,55;29,25
61;31;4,3;3,95;7,3;10,75
622;45;25,3;23,2;37,95;63,25
6316;45;8,8;8,1;13,2;22
6320;45;9,1;8,4;13,65;22,75
6424;57;11,1;10;16,65;27,75
6540;48;16,95;15,6;25,43;42,375
6833;50;14,5;13,3;21,75;36,25
6918;50;9,2;8,45;13,8;23
70;12;3,4;3,1;6,4;8,5
7029;50;12;11;18;30
7030;50;12,2;11,3;18,3;30,5
7050;32;6,5;5,95;9,75;16,25
7052;52;10,6;9,7;15,9;26,5
715;48;10,5;8,6;15,75;26,25
7150;32;8,9;8,1;13,35;22,25
7320;42;9,45;8,65;14,18;23,625
7518;53;9,05;8,35;13,58;22,625
7547;56;22,5;20,7;33,75;56,25
7554;54;14;12,9;21;35
7828;49;10,3;9,4;15,45;25,75
785;8;3,6;3,3;6,6;9
786;12;4,05;3,7;7,05;10,125
8022;49;11,7;10,7;17,55;29,25
8060;60;14;12,9;21;35
8065;50;16,3;15,3;24,45;40,75
8067;50;16,3;15,3;24,45;40,75
820;85;48,7;44,8;73,05;121,75
8245;60;24,2;22,25;36,3;60,5
8296;82;14,2;13,25;21,3;35,5
8302;52;16,2;14,9;24,3;40,5
8357;81;17,1;15,7;25,65;42,75
8385;75;16,6;15,3;24,9;41,5
839;28;5,25;4,8;8,25;13,125
8396;68;12,35;11,3;18,53;30,875
8499;68;14,2;12,8;21,3;35,5
8520;60;13,2;12,1;19,8;33
859;55;9,35;8,6;14,03;23,375
8571;64;38,7;35,6;58,05;96,75
8644;81;20,3;18,65;30,45;50,75
87427;53;21;19,3;31,5;52,5
877;50;10,5;9,6;15,75;26,25
88020;60;21;19,3;31,5;52,5
89020;64;16,4;15;24,6;41
9034;65;16,07;14,88;24,11;40,175
9223;70;15,8;14,5;23,7;39,5
93;22;5,4;4,9;8,4;13,5
93717;24;5,95;5,5;8,95;14,875
93720;25;8;7,36;12;20
94021;20;6,75;6,25;10,13;16,875
95040;32;13,45;12,35;20,18;33,625
96325;45;9,75;8,78;14,63;24,375
96242;45;9,4;8,46;14,1;23,5
97;16;3,65;3,28;6,65;9,125
97120;56;10,3;9;15,45;25,75
F58;82;19,3;17,75;28,95;48,25
317-319-320;20;2,4;2,2;5,4;6
351-352;24;2,75;2,53;5,75;6,875
2000;12;3,2;2,94;6,2;8
2021-2022-2023;15;3,15;2,89;6,15;7,875
2216;12;2,4;2,16;5,4;6
2200-01-02-03;12;2,4;2,16;5,4;6
2281-2282;15;2,9;2,66;5,9;7,25
2421-2423;16;4,7;4,32;7,7;11,75
2700;18;2,75;2,53;5,75;6,875
3070;20;3,77;3,46;6,77;9,425
3410;24;3,65;3,35;6,65;9,125
3821;29;4,9;4,5;7,9;12,25
4127;28;6,23;5,73;9,35;15,575
4527;32;6,5;5,98;9,75;16,25
4721-22-23;20;8,34;7,67;12,51;20,85
4805-6-8-9-99;35;4,95;4,55;7,95;12,375
4814-4827;35;5,08;4,67;8,08;12,7
5052-5053-5057;36;5,5;5,06;8,5;13,75
5258;36;7,6;6,99;11,4;19
6000;44;16,26;14,95;24,39;40,65
