name;wholesale;stampless;wholesaleplus;retail
50Χ100 ΕΛΑΙΟΤΥΠΙΑ;71,5;71,5;71,5;110,825
60Χ120 ΕΛΑΙΟΤΥΠΙΑ;97,5;97,5;97,5;151,125
70Χ138 ΕΛΑΙΟΤΥΠΙΑ;126;126;126;195,3
80Χ160 ΕΛΑΙΟΤΥΠΙΑ;157;157;157;243,35
100Χ200 ΕΛΑΙΟΤΥΠΙΑ;234;234;234;362,7
125Χ250 ΕΛΑΙΟΤΥΠΙΑ;355;355;355;550,25
30Χ40 ΕΛΑΙΟΤΥΠΙΑ;23;23;23;35,65
40Χ60 ΕΛΑΙΟΤΥΠΙΑ;40,5;40,5;40,5;62,775
50Χ70 ΕΛΑΙΟΤΥΠΙΑ;55;55;55;85,25
60Χ80 ΕΛΑΙΟΤΥΠΙΑ;68;68;68;105,4
70Χ100 ΕΛΑΙΟΤΥΠΙΑ;92,5;92,5;92,5;143,375
90Χ120 ΕΛΑΙΟΤΥΠΙΑ;132;132;132;204,6
100Χ150 ΕΛΑΙΟΤΥΠΙΑ;185;185;185;286,75
135Χ200 ΕΛΑΙΟΤΥΠΙΑ;330;330;330;511,5
20Χ60 ΕΛΑΙΟΤΥΠΙΑ;23;23;23;35,65
25Χ70 ΕΛΑΙΟΤΥΠΙΑ;41;41;41;63,55
33Χ95 ΕΛΑΙΟΤΥΠΙΑ;54,5;54,5;54,5;84,475
40Χ120 ΕΛΑΙΟΤΥΠΙΑ;68;68;68;105,4
48Χ138 ΕΛΑΙΟΤΥΠΙΑ;92;92;92;142,6
50Χ150 ΕΛΑΙΟΤΥΠΙΑ;132;132;132;204,6
60Χ180 ΕΛΑΙΟΤΥΠΙΑ;185;185;185;286,75
80Χ230 ΕΛΑΙΟΤΥΠΙΑ;328;328;328;508,4
20Χ100 ΕΛΑΙΟΤΥΠΙΑ;43;43;43;66,65
30Χ150 ΕΛΑΙΟΤΥΠΙΑ;77,5;77,5;77,5;120,125
40Χ200 ΕΛΑΙΟΤΥΠΙΑ;136,5;136,5;136,5;211,575
50Χ250 ΕΛΑΙΟΤΥΠΙΑ;211;211;211;327,05
60Χ300 ΕΛΑΙΟΤΥΠΙΑ;274;274;274;424,7
70Χ350 ΕΛΑΙΟΤΥΠΙΑ;333,5;333,5;333,5;516,925
