ΚΩΔ.,ΡΑΦΙ,ΤΕΜ .,ΚΑΛΛΙΤΕΧΝΗΣ,ΤΙΤΛΟΣ
DEH 1007,P5,1,Debbie Halliday ,Macintosh Cream Rose 
DEH 1011,N2,3,Debbie Halliday ,Japanese Moon Panel I
DEH 1012,N2,3,Debbie Halliday ,Japanese Moon Panel II 
DEH 1017,N2,2,Debbie Halliday ,Ribbon Bloom 
DEH 1018,N2,2,Debbie Halliday ,Ribbon Flowers 
DEH 1019,M10,1,Debbie Halliday ,Oxygen Flower Trio 
DEH 1020,M10,1,Debbie Halliday ,Oxygen Flower Burst 
DEH 1021,M10,1,Debbie Halliday ,Oxygen Scribble Flower 
DEH 1022,V2,5,Debbie Halliday , Eco Paper Flowers 
DEH 1023,V2,5,Debbie Halliday , Eco Paper Stems 
DEH 1024,N2,5,Debbie Halliday ,Blue Rococo Lotus Flower  
DEH 1025,N2,5,Debbie Halliday , Caramel Rococo Lotus Flower
DEH 1032,H6,5,Debbie Halliday ,Chic Flower Strips
DEH 1033,H6,5,Debbie Halliday ,Chic Paper Flower 
DEH 1034,H6,5,Debbie Halliday ,Chic Suede Flower 
DEH 1035,H6,6,Debbie Halliday ,Metallic Flower Burst  
DEH 1036,H6,5,Debbie Halliday ,Metallic Flower Bloom 
DEH 1037,H6,5,Debbie Halliday ,Metallic Flower Duo 
DEH 1101,Q1,1,Debbie Halliday ,Left Lady 
DEH 1102,Q1,1,Debbie Halliday ,Right Lady
DEH 1103,Q1,1,Debbie Halliday ,Macintosh Red Rose 
DEH 1106,Q1,1,Debbie Halliday ,Macintosh Silver Rose 
DEH 1107,Q1,1,Debbie Halliday ,Macintosh Cream Rose 
DEH 1108,O1B,1,Debbie Halliday , God Blossom Stem 
DEH 1109,O1B,1,Debbie Halliday ,Gold Blossom Flowers
DEH 1110,O1B,1,Debbie Halliday ,Gold Blossom Buds 
DEH 1113,H4,2,Debbie Halliday ,Eden Leaf 
DEH 1114,H4,2,Debbie Halliday ,Eden Palm 
DEH 1119,H4,1,Debbie Halliday ,Oxygen Flower Trio 
DEH 1120,H4,1,Debbie Halliday ,Oxygen Flower Burst 
DEH 1121,H4,1,Debbie Halliday ,Oxygen Scribble Flower 
DEH 1129,O4,1,Debbie Halliday , Pastel Paper Stem 
DEH 1130,O4,1,Debbie Halliday , Pastel Paper Blossom 
DEH 1131,O4,1,Debbie Halliday ,Pastel Paper Flower
DES 1009,V3,1,Design Show,Blue Leaf Stem
DES 1010,V3,1,Design Show,Stencil Leaf 
DES 1011,V3,1,Design Show, Waving Stems 
DES 1012,V3,1,Design Show,Rainforest Bloom 
DES 1013,V3,1,Design Show, Forest Leaf Stem 
DES 1014,V3,1,Design Show,tropical Fern
DES 1015,V3,1,Design Show, Oxygen Stems 
DES 1016,V3,1,Design Show, Oxygen Leaf  
DES 1017,V3,1,Design Show, Oxygen Flower 
DES 1018,N2,1,Design Show,Bamboo Stem  I
DES 1019,N2,1,Design Show,Bamboo Stem  II
DES 1028,V15,1,,
DES 1031,H6,4,Design Show,Metallic Lilly 
DES 1032,H6,4,Design Show,Metallic Dahlia 
DES 1033,H6,4,Design Show,Metallic Palm 
DES 1034,N24,6,Design Show,Glamour Palm
DES 1035,N24,6,Design Show,Glamour Leaf 
DES 1038,N24,4,Design Show,Baroque Trellis I
DES 1039,N24,5,Design Show,Baroque Trellis II
DES 1109,O1B,1,Design Show, Blue Leaf Stem 
DES 1110,O1B,1,Design Show,Stencil Leaf 
DES 1111,O1B,1,Design Show,Waving Stems 
DES 1112,O1B,1,Design Show,Rainforest Bloom 
DES 1113,O1B,1,Design Show, Forest Leaf Stem 
DES 1114,O1B,1,Design Show,tropical Fern
DES 1115,O1B,1,Design Show, Oxygen Stems 
DES 1116,O1B,1,,
DES 1117,O1B,1,,
DES 1118,H4,1,Design Show,Bamboo Stem I 
DES 1119,H4,1,Design Show,Bamboo Stem II
DES 1128,O4,1,Design Show, Taupe Meadow Grass
DES 1129,O4,1,Design Show,Oatmeal Meadow Grass
DES 1130,O4,1,Design Show,Wheat Meadow Grass
DES 1138,I10,1,Design Show,Baroque Trellis I
DES 1139,I10,1,Design Show,Baroque Trellis II
DES 1140,I10,1,Design Show,Baroque Trellis III
DES 1141,I10,1,Design Show,Baroque Trellis IV
DGP 401,A24,1,Goyo Dominguez,Bodegon
DH 1001,S6,1,Dieter Hoffmann ,Antique Look Through
DH 1002,S6,1,Dieter Hoffmann ,Desert Palm View 
DH 1006,S6,1,Dieter Hoffmann ,Welcome Back 
DH 1008,S6,1,Dieter Hoffmann ,Love Affair 
DH 1009,S6,1,Dieter Hoffmann ,Venezia In Sirenzio 
DH 1010,S6,1,Dieter Hoffmann ,Venezia Con Calma 
DH 1101,H22,1,Dieter Hoffmann ,Antique Look Through
DH 1102,H22,1,Dieter Hoffmann ,Desert Palm View 
DH 1107,H22,1,Dieter Hoffmann ,Declaration Of Love 
DH 1108,H22,1,Dieter Hoffmann , Love Affair 
DHA 5209,T20,1,Diane Happer, Timeless I
DHA 5210,T20,1,Diane Happer, Timeless II
DJP 830,C14,2,John Douglas ,Tribute 
DJP 831,C14,3,John Douglas ,Honor 
DJP 841,C14,1,John Douglas ,Bridges Of Old 
DJP 847,C14,3,John Douglas ,New Found Bridge 
DM 4267,C8,1,Andrea Del Missier  ,Seychelles View 
DM 6705,B21 ,2,Andrea Del Missier  ,Giardino Fiorito 
DM 6706,B21 ,2,Andrea Del Missier  , Giardino Sul Lago 
DMO 1005,V3,3,Diane Moore ,Pink Summer Feeling I
DMO 1006,V3,3,Diane Moore ,Pink Summer Feeling II
DMO 1007,V3,2,Diane Moore ,Pink Summer Feeling III
DMO 1012,H4,2,Diane Moore ,Circulation  In Line 
DMO 1013,H4,4,Diane Moore ,On The Top 
DMO 1014,N2,2,Diane Moore ,Pretentious 
DMO 1015,N2,2,Diane Moore ,Sophisticated
DMO 1016,W14,1,Diane Moore ,Circle Design 
DMO 1017,W14,1,Diane Moore ,Meeting In The Middle 
DMO 1020,N2,1,Diane Moore ,Allure In Blue I
DMO 1021,N2,1,Diane Moore ,Allure In Blue II
DMO 1024,N2,1,Diane Moore ,Gorgeous 
DMO 1025,N2,1,Diane Moore ,Adorable 
DMO 1026,H4,1,Diane Moore , Diamonds 
DMO 1027,H4,1,Diane Moore ,En Vougue 
DMO 1030,N2,1,Diane Moore ,Fragrance Of Blue Roses I
DMO 1031,N2,1,Diane Moore ,Fragrance Of Blue Roses II
DMO 1032,N2,1,Diane Moore ,Bed Of Blue Roses I
DMO 1033,N2,1,Diane Moore ,Bed Of Blue Roses II
DMO 1037,M10,1,Diane Moore ,Exclusive 
DMO 1045,N2,5,Diane Moore ,Flower Silhouette
DMO 1047,S6,1,Diane Moore ,The White Circle 
DMO 1048,S6,1,Diane Moore ,The Black Circle
DMO 1105,O1B,1,Diane Moore ,Pink Summer Feeling I
DMO 1106,O1B,1,Diane Moore ,Pink Summer Feeling II
DMO 1107,O1B,1,Diane Moore ,Pink Summer Feeling III
DMO 1110,H4,2,Diane Moore ,Circulation 
DMO 1111,H4,1,Diane Moore ,Triangle Circuit 
DMO 1118,Q18,1,Diane Moore ,Come To The Point 
DMO 1134,O1B,1,Diane Moore ,Cool Bubbles 
DMO 1135,O1B,1,Diane Moore ,Dancing Bubbles 
DMO 1136,O1B,1,Diane Moore ,Magic Bubbles 
DMO 1137,H4,1,Diane Moore , Exclusive 
DMO 1138,H4,1,Diane Moore ,Chic 
DMO 1147,H22,1,Diane Moore ,The White Circle 
DMO 1148,H22,1,Diane Moore ,The Black Circle
DMO 1216,Q18,1,Diane Moore ,Circle Design 
DMP 504,C14,1,Mary Dulon , Capranica 
DOH 959,C3,3,Don Hatfield , Summer Outing 
DOH 963,W1,0,,
DOK 1006,V3,1,Dorothea King ,White Orchid Vase II 
DOK 1101,I10,1,Dorothea King ,
DOK 1102,I10,1,Dorothea King ,Oriental Tea 
DOK 1103,I10,2,Dorothea King ,Oriental Vase 
DOK 1104,I10,2,Dorothea King ,Oriental Bowl 
DP 1002,S6,1,Doro Platini ,Bird's Eye View II
DP 1003,M10,1,Doro Platini , Bird's Eye View III
DP 1101,H4,1,Doro Platini , Bird's Eye View I 
DP 1102,H4,1,Doro Platini , Bird's Eye View II 
DP 1103,H4,1,Doro Platini , Bird's Eye View III
DP 1104,H4,1,Doro Platini , Bird's Eye View IV 
DP 1201,I10,1,Doro Platini , Bird's Eye View I
DP 1202,I10,1,Doro Platini , Bird's Eye View II 
DP 1203,I10,1,Doro Platini , Bird's Eye View III
DP 1204,I10,1,Doro Platini , Bird's Eye View IV 
DSM 1001,S6,1,,
DSM 1002,S6,1,,
DSM 1007,S6,1,David Smith , Conchita 
DU 1003,W14,1,Daniel Duvallet ,Artful Pottery
DU 1004,W14,1,Daniel Duvallet ,Gracious Green 
DV 1001,W14,1,Dagmar Vogt,Colour Flow 
DV 1002,W14,1,Dagmar Vogt, Runny Contrast 
DW 5764,D5,3,,
DW 5766,D5,4,Dan Werner,Shoreline  Splendor
DW 5831,L2,3,,
DW 6257,D5,2,,
DZ 1001,W15,1,Dagmar Zupan ,Reflection
DZ 1002,W15,1,Dagmar Zupan ,Expectation
DZ 1005,M5,27,Dagmar Zupan ,New Relationship 
DZ 1008,W15,7,Dagmar Zupan ,At Home Again 
DZ 1009,W15,7,Dagmar Zupan ,Have A Nice Evening 
DZ 1014,V3,1,,
DZ 1015,V3,1,Dagmar Zupan ,Assimilation 
DZ 1017,V3,1,Dagmar Zupan ,Look Up
DZ 1018,W15,21,Dagmar Zupan ,On Top Of It 
DZ 1019,W15,19,Dagmar Zupan ,Free Falling 
DZ 1020,S6,3,Dagmar Zupan ,Side Effect 
DZ 1021,S6,5,Dagmar Zupan ,Flower Rays  
DZ 1022,N2,4,Dagmar Zupan ,One Desire 
DZ 1023,N2,2,Dagmar Zupan ,Two Desires 
DZ 1024,W15,4,Dagmar Zupan ,Flower Princess 
DZ 1025,W15,16,Dagmar Zupan ,Flower Emperess
DZ 1027,W15,1,Dagmar Zupan , Flower Greetings 
DZ 1028,S6,1,Dagmar Zupan ,Lady In White 
DZ 1031,S6,1,Dagmar Zupan ,Falling White Petals 
DZ 1032,S6,2,Dagmar Zupan ,Come Into My Arms 
DZ 1033,S6,1,Dagmar Zupan ,I Give You My Heart 
DZ 1034,S6,4,Dagmar Zupan ,Respective 
DZ 1035,S6,3,Dagmar Zupan ,Beyond The Bridge 
DZ 1036,V3,2,Dagmar Zupan ,Power In Red 
DZ 1037,V3,4,Dagmar Zupan ,Energy In Red 
DZ 1038,V3,3,Dagmar Zupan ,Force In Red 
DZ 1052,T2,1,Dagmar Zupan ,Beginning Of Summer 
DZ 1056,M10,1,Dagmar Zupan ,Beautifully Decorated 
DZ 1057,M10,1,Dagmar Zupan ,Wonderful  Arrangement 
DZ 1058,V3,1,,
DZ 1060,M10,1,,
DZ 1061,M10,1,Dagmar Zupan ,Funny Flower 
DZ 1062,M10,1,Dagmar Zupan ,Happy Flower 
DZ 1064,T2,1,Dagmar Zupan ,Asian Composition 
DZ 1065,N2,1,Dagmar Zupan ,Asian Vision 
DZ 1067,V3,1,Dagmar Zupan , Inspiration 
DZ 1068,V3,1,Dagmar Zupan ,Serenity 
DZ 1069,V3,1,Dagmar Zupan ,Balance 
DZ 1070,S6,3,Dagmar Zupan ,Asian Arrangement I
DZ 1071,S6,5,Dagmar Zupan ,Asian Arrangement II
DZ 1072,M10,1,Dagmar Zupan ,Hamony
DZ 1073,M10,1,Dagmar Zupan ,Gracefulness
DZ 1074,C9,1,Dagmar Zupan , Elegance 
DZ 1075,C9,1,Dagmar Zupan ,Power 
DZ 1081,V3,1,Dagmar Zupan ,Corn Poppy I
DZ 1082,V3,1,Dagmar Zupan ,Corn Poppy II 
DZ 1083,V3,1,Dagmar Zupan ,Corn Poppy III
DZ 1085,V3,3,Dagmar Zupan ,Red Hot 
DZ 1086,V3,3,Dagmar Zupan ,Blazing Red
DZ 1087,V3,4,Dagmar Zupan ,Glaring Red
DZ 1104,P5,1,Dagmar Zupan , Longing For  
DZ 1109,P5,1,Dagmar Zupan ,Have A Nice Evening 
DZ 1112,P5,6,Dagmar Zupan ,Flower Duet I 
DZ 1113,P5,7,Dagmar Zupan ,Flower Duet II 
DZ 1120,H22,10,Dagmar Zupan ,Side Effect 
DZ 1121,H22,7,Dagmar Zupan ,Flower Rays  
DZ 1136,O1B,3,Dagmar Zupan , Power In Red 
DZ 1137,O1B,3,Dagmar Zupan ,Energy In Red 
DZ 1138,O1B,3,Dagmar Zupan ,Force In Red 
DZ 1150,O1B,1,Dagmar Zupan , Summertime 
DZ 1151,O1B,1,Dagmar Zupan ,In The Summer 
DZ 1153,O1B,1,Dagmar Zupan , Scent Of Orchids 
DZ 1154,O1B,1,Dagmar Zupan ,Perfect Harmony
DZ 1155,O1B,1,Dagmar Zupan ,To Be In Full Flower 
DZ 1158,O1B,1,Dagmar Zupan ,Summer Day 
DZ 1167,O1B,1,Dagmar Zupan , Inspiration 
DZ 1168,O1B,1,Dagmar Zupan ,Serenity 
DZ 1169,O1B,1,Dagmar Zupan ,Balance 
DZ 1186,O1B,1,Dagmar Zupan ,Blazing Red
DZ 1187,O1B,2,Dagmar Zupan ,Glaring Red
DZ 1188,O1B,4,Dagmar Zupan ,Red Hot 
EA 508,Q25,1,A.A Gockel ,
EA 509,Q25,2,A.A Gockel ,
MB 4005,R22,25,Maria Giannino , Corbeille d'ete 
MB 4006,R22,8,A.Venneti,
EBN 106,R24,27,,
EBN 109,R24,45,,
EBN ΤΟΠΙΟ,R23,38,,
EBN ΦΙΓ.,R23,41,,
EBR 4245,C8,1,Eva Barberini ,Bouquet Di Tulipani
EBR 4246,C8,1,Eva Barberini ,Bouquet Di Anemoni 
EBR 5548,V26,1,,
EBR 5549,V26,1,Eva Barberini ,Luce E Colore I 
EC 6112,W4,2,,
EC 6605,C5,4,Emilio Ciccone ,Justine 
EC 6606,C5,2,Emilio Ciccone , Ophelie 
EC 6609,B21,2,Emilio Ciccone ,Denise 
EC 6610,B21,1,Emilio Ciccone ,Chantal 
EC 6612,B19,4,Emilio Ciccone ,Elenoire
EC 6651,C7,4,Emilio Ciccone ,Stephanie 
EC 6912,W4,2,Emilio Ciccone ,Nicole 
EC 6913,W4,2,Emilio Ciccone ,Sophie 
EC 7038,C5,2,Emilio Ciccone , Piano In The Dark 
EG 012,U23,8,George Leslie , Sun And Moon Flowers 
EG 024,U24,1,Frederick George Cotman , One Of The Family
EG 056,U24,25,William Bouguerau,The Young Seamstress
EG 087,U24,24,William Bouguerau,Tricoteuse
EG 121,U24,5,John Godward, Absence Makes The Heart Grow Fonder 
EG 153,U23,3,Edward Perugini , In The Orangery 
EG 164,U24,1,G.B Torriglia,A Happy Family 
EG 178,U27,18,G.B Torriglia,The See Saw
EG 201,U24,13,William Bouguerau, Pause For Thought
EG 208,U27,6,G.B Torriglia, Play Time 
EG 252,U27,2,Maeterlinck, Clair De La Lune
EG 564,S16,15,A.A Gockel ,
EG 565,S16,20,A.A Gockel ,
EG 566,S16,29,A.A Gockel ,
EG 567,S16,31,A.A Gockel ,
EG 73,U23,8,Fernand Touissaint, Quiet Afternoon
EK 1069,S6,1,Ewald Kuch,Summertime 
EK 1073,N2,21,Ewald Kuch,Hanging In There 
EK 1074,S6,23,Ewald Kuch,Yellow Rising 
EK 1076,S6,1,Ewald Kuch,Red Liaison
EK 1077,S6,1,Ewald Kuch,Red Affair 
EK 1084,W16,1,Ewald Kuch,Kings Of Gold II
EK 1087,C9,3,Ewald Kuch,Cruz Del Sur 
EK 1088,M5,2,Ewald Kuch,Sich Trennende Formen  Next Level I
EK 1089,M5,3,Ewald Kuch,Sich Trennende Formen  Next Level II
EK 1092,C9,1,Ewald Kuch, White Desert 
EK 1093,V4,1,Ewald Kuch,Maya King 
EK 1094,S6,1,Ewald Kuch,Royal Maya Beauties 
EK 1095,V4,1,Ewald Kuch,Maya Queen 
EK 1098,W16,3,Ewald Kuch,Old New World I
EK 1099,W16,3,Ewald Kuch,Old New World II 
EK 1168,H23,1,Ewald Kuch,My Little Garden
EK 1169,H23,1,Ewald Kuch,Summertime 
EK 1171,Q18,4,Ewald Kuch,All Season 
EK 1269,Q18,3,Ewald Kuch,Summertime 
EK 2002,T2,1,Ewald Kuch,My Purple Views II
EK 2006,M10,4,Ewald Kuch,A Very Nice Day To Fly 
EK 2007,M10,1,Ewald Kuch,Ready For Landing 
EK 2008,T2,6,Ewald Kuch,Integrated Yellow I
EK 2009,W16,5,Ewald Kuch,Integrated Yellow II
EK 2010,T2,3,Ewald Kuch,Geometric Connection With Brown 
EK 2011,W16,5,Ewald Kuch,Geometric Connection With Yellow 
EK 2012,V4,3,Ewald Kuch,City Lines I
EK 2013,V4,3,Ewald Kuch,City Lines II 
EK 2014,M5,3,Ewald Kuch,North Star 
EK 2015,V4,5,Ewald Kuch,From Left To Right I
EK 2016,V4,5,Ewald Kuch,From Left To Right II
EK 2017,M10,6,Ewald Kuch,By The Seaside I
EK 2020,T2,2,Ewald Kuch,Before Sunrise I
EK 2021,T2,3,Ewald Kuch,Before Sunrise II
EK 2022,M10,9,Ewald Kuch,Oriental Style In Chocolate I
EK 2023,M10,9,Ewald Kuch,Oriental Style In Chocolate II
EK 2028,V4,7,Ewald Kuch,Autumnal Inspiration I
EK 2029,V4,2,Ewald Kuch,Autumnal Inspiration II
EK 2030,V4,4,Ewald Kuch,Autumnal Inspiration III
EK 2032,P5,6,Ewald Kuch,Fantasy Land I 
EK 2033,P5,4,Ewald Kuch,Fantasy Land II 
EK 2034,H4,7,Ewald Kuch,A Piece Of Fantasy I
EK 2035,H4,6,Ewald Kuch,A Piece Of Fantasy II
EK 2036,M10,1,Ewald Kuch,Red Squares 
EK 2037,M10,1,Ewald Kuch,Blue Horizon 
EK 2038,W16,1,Ewald Kuch,Ray Of Light 
EK 2039,W16,1,Ewald Kuch,The Big Red 
EK 2136,H4,1,Ewald Kuch,Red Squares 
EK 2137,H4,1,Ewald Kuch,Blue Horizon 
EK 2138,H4,1,Ewald Kuch,Ray Of Light 
EK 2139,H4,1,Ewald Kuch,The Big Red 
EL 2219,M23,11,Ann Dergara ,Promises Made 
EL 2220,M23,5,Ann Dergara ,Promises Kept 
EL 2382,V29,17,Arnold Iger , Corinthian Arcade 
EL 3141A,C11,3,Arnold Iger ,Amphora Triptych 
EL 3141B,C11,4,Arnold Iger ,Amphora Triptych 
EL 3141C,C11,4,Arnold Iger ,
EL 3142,M23,30,Diana Van Hall , Iridescence I
EL 3143,M23,21,Diana Van Hall , Iridescence II
EL 3568,M18,25,Jeff Surret  ,Firenze Rosa 
EL 3569,M18,25,Jeff Surret  ,Rosa D' Amore 
EL 3903,M22,19,Jeff Surret  , Floral Un I
EL 3904,M22,22,Jeff Surret  , Floral Un II
EL 4067,C11,4,Julian Marcoux ,Poppy I 
EL 4082,M18,22,Trey , Primavera I
EL 4083,M18,20,Trey , Primavera II
EL 4095,M20,22,John Kime ,Spring 
EL 4096,M20,23,John Kime , Fall
EL 4159,M17,4,Arnold Iger ,Fresco Floral Panel II
EL 4161,M17,14,Arnold Iger ,Fresco Floral Panel III 
EL 4162,M17,6,Arnold Iger ,Fresco Floral Panel IV 
EL 4163,M17,32,Arnold Iger , Fresco Floral I 
EL 4164,M17,23,Arnold Iger , Fresco Floral II 
EL 4252,M22,38,Arnold Iger , Fresco Floral 
EL 4357,M21,27,Ramon Pujol ,Half Light At Noon
EL 4358,M21,21,Ramon Pujol , Day Break On Coast 
EL 4367,C11,4,Julian Marcoux ,Tulip II 
EL 4368,C11,3,Julian Marcoux ,Peony I 
EL 4389,M17,14,A.G Humpherry,Country Unveiled
EL 4390,M17,26,A.G Humpherry, Forested Vista 
EL 4567,R20,5,John Butler  , Botanical Tulips I
EL 4568,R20,7,John Butler  , Botanical Tulips II
EL 4707,C11,6,Robert Ginger ,Goodness 
EL 4734,M21,22,Arnold Iger ,Full Sall I
EL 4735,M21,27,Arnold Iger ,Full Sall II
EL 7080,H13,50,Nan Goss , Landscape No 52
EL 7081,H13,50,Nan Goss , Landscape No 53
EL 7270,M19,19,Raya ,Open Air 1 
EL 7271,M19,21,Raya ,Open Air 2 
EL 7279,M23,26,Cory Silken, The Cannon Race 2
EL 7379,M20,22,Daniel Phill,Tenor
EL 7380,M20,19,Daniel Phill, Bryony 
EL 7705,M19,13,Michael Matthews, October Away I 
EL 7706,M19,14,Michael Matthews, October Away II 
EL 7820,N23,24,,
ELI 1002,M5,2,Emily Light  , Wild White Poppies 
ELR 1001,H4,1,Eleanor Rahim ,Channelled Whelk
ELR 1002,H4,1,Eleanor Rahim ,Ravenel's Scallop 
ELR 1003,H4,1,Eleanor Rahim ,Scotch Bonnet 
ELR 1004,H4,1,Eleanor Rahim ,Lettered Olive 
ELR 1005,N2,1,Eleanor Rahim ,White Joanie Orchid 
ELR 1006,N2,1,Eleanor Rahim ,Pink Joanie Orchid 
EM 486,H25,1,,
EM 487,H25,1,,
EMH 1003,S17,3,Emma Harper , Haute Couture I 
EMH 1004,S17,9,Emma Harper , Haute Couture II 
EMO 1159,B22,2,Eduardo Moreau , Tuscan Still Life I
EMO 1160,B22,1,Eduardo Moreau , Tuscan Still Life II
EMO 1383,B22,8,Eduardo Moreau ,Umbrian Still Life I 
EMO 1384,B22,12,Eduardo Moreau ,Umbrian Still Life II 
EN 5039,B24,6,Ester Negretti, Segni I
EN 5040,B24,9,Ester Negretti, Segni II 
EN 5041,C3,4,Ester Negretti,Traccia I
EN 5042,C3,4,Ester Negretti,Traccia II
EP 4262,C8,1,Elena Panizza, Breza Marina 
ERL 4339,B25,6,Erin Lange ,Iris Silhouette I
ERL 4340,B25,6,Erin Lange ,Iris Silhouette II
ERL 4409,D8,3,Erin Lange ,Delicate Balance I 
ERL 4410,D8,3,Erin Lange ,Delicate Balance II 
ERL 4411,D8,12,Erin Lange ,In The Moment I
ERL 4412,D8,12,Erin Lange ,In The Moment II 
ERL 5837,T17,4,Erin Lange , Retreat I
ERL 5838,T17,3,Erin Lange , Retreat II
ERL 6413,D7,1,Erin Lange ,Red Impression I
ERL 6414,D7,1,Erin Lange ,Red Impression II
ERL 6433,N17,2,Erin Lange ,Turning Leaves I
ERL 6434,N17,2,Erin Lange ,Turning Leaves II
ERL 6663,B18,2,Erin Lange ,Brilliant Bloom 
ERO 6624,B19,2,Edoardo Rovere ,Lovers In New York 
ERO 6625,B19,1,,
ERO 6626,W7,3,Edoardo Rovere ,Woman In Paris 
ERO 6627,W7,4,Edoardo Rovere ,Woman In New York 
ESP 1020,S6,1,Elizabeth Espin  ,Paysage De Parfums 
ESP 1021,S6,1,Elizabeth Espin  ,Couleurs Du Sud 
ESP 1024,C9,1,Elizabeth Espin  ,Sommelier 
ESP 1025,C9,1,Elizabeth Espin  ,Master Of Wine 
ESP 1026,V4,4,Elizabeth Espin  ,Precieux 
ESP 1027,V4,4,Elizabeth Espin  ,Exclusif 
ESP 1028,V4,3,Elizabeth Espin  ,Magnifique 
ESP 1029,M10,2,Elizabeth Espin  ,Mondaine 
ESP 1030,M10,1,Elizabeth Espin  ,Extraordinaire 
ESP 1031,C11,1,Elizabeth Espin  ,Le Chanteuse  De Jazz 
ESP 1032,C11,1,Elizabeth Espin  ,Festival De Jazz 
ESP 1037,M10,1,Elizabeth Espin  ,Chantal Et Antoine 
ESP 1038,M10,1,Elizabeth Espin  ,Giulia E Francesco 
ESP 1039,V4,1,,
ESP 1040,V4,1,,
ESP 1041,V4,1,Elizabeth Espin  ,Summer
ESP 1042,V13,1,Elizabeth Espin  , Cocktail
ESP 1044,V4,1,,
ESP 1058,V4,1,Elizabeth Espin  ,Le Jardin Des Tomates 
ESP 1059,V4,1,Elizabeth Espin  ,Le Jardin De Poivrons 
ESP 1060,V4,1,Elizabeth Espin  ,Le Jardin Du Piment 
ESP 1072,G21,1,Elizabeth Espin  ,Bell' Italia 
ESP 1073,G21,1,Elizabeth Espin  ,Di Gusto 
ESP 1074,H6,1,Elizabeth Espin  ,Le Monde 
ESP 1075,H6,1,Elizabeth Espin  ,Spettacoli 
ESP 1081,V15,1,Elizabeth Espin  , Glamorous Due Verres 
ESP 1084,G21,1,Elizabeth Espin  ,Glamorous Botiglia 
ESP 1085,G21,1,Elizabeth Espin  ,Caffe Crema 
ESP 1086,G21,1,Elizabeth Espin  ,Un Piccolo Café 
ESP 1122,V4,1,Elizabeth Espin  ,Camille
ESP 1123,V4,2,Elizabeth Espin  ,Chloe 
ESP 1125,V4,1,Elizabeth Espin  ,Master Of Wine 
ESP 1139,O1B,1,Elizabeth Espin  , Les Temps Des Cerises 
ESP 1140,O1B,1,Elizabeth Espin  ,Fresh 
ESP 1141,O1B,1,Elizabeth Espin  ,Summer
ESP 1142,O1B,1,Elizabeth Espin  ,Cocktail 
ESP 1143,O1B,1,Elizabeth Espin  ,Bar 
ESP 1144,O1B,1,Elizabeth Espin  ,Drink 
ESP 1145,I10,1,Elizabeth Espin  ,Cuvee Du Chateau 
ESP 1146,I10,1,Elizabeth Espin  ,Tire-Bouchon
ESP 1147,I10,1,Elizabeth Espin  ,Vino Bianco 'B'
ESP 1148,I10,1,Elizabeth Espin  ,Il Vino Bianco
ESP 1153,O1B,1,Elizabeth Espin  , Storia Del Caffe 
ESP 1154,O1B,1,Elizabeth Espin  ,Caffe Del Arte
ESP 1171,Q18,1,Elizabeth Espin  ,Il Rito Del Caffe 
ESP 1172,Q18,1,Elizabeth Espin  ,Bell' Italia 
ESP 1173,Q18,1,Elizabeth Espin  , Di Gusto 
ESP 1179,O4,1,Elizabeth Espin  ,Noir & Blanc 
ESP 1180,O4,1,Elizabeth Espin  ,Blanc 
ESP 1182,O4,1,Elizabeth Espin  ,Glamorous Spoon 
ESP 1183,O4,1,Elizabeth Espin  ,Con Zucchero 
ESP 1184,Q18,1,Elizabeth Espin  ,Glamorous Botiglia 
ESP 1185,Q18,1,Elizabeth Espin  ,Caffe Crema 
ESP 1186,Q18,1,Elizabeth Espin  ,Un Piccolo Café 
EW 1814,N15,1,Eric Waugh,Primo I
EW 4160,C3,3,Eric Waugh, Jam Session I
EW 4161,C3,2,Eric Waugh, Jam Session II
EW 4162,N15,3,Eric Waugh, Jam Session I
EW 4163,N15,2,Eric Waugh, Jam Session II
EW 4633,L3,1,,
EW 4959,C8,1,,
EW 551,B16,47,Eric Waugh, Debut I
EW 552,B16,29,Eric Waugh, Debut II
FBR 5615,C7-4,1,Francis Brook ,Sport White 
FBR 5616,C7-4,1,Francis Brook , British Black 
FD 1879,C3,2,,
FD 1880,C3,7,Fulvio Dot ,Veduto Di Emborio 
FD 1881,N16,2,,
FD 1882,N16,1,Fulvio Dot ,Merovigli 
FD 1883,N16,18,Fulvio Dot ,Pyrgos 
FD 1884,N16,16,Fulvio Dot , Akrotiri 
FF 1003,S6,1,Frank Fellini ,With Taut  Sails 
FF 1004,S6,1,Frank Fellini ,Under Full Sail 
FF 1005,T2,1,Frank Fellini ,View Over The Lakes I
FF 1006,W16,1,Frank Fellini ,View Over The Lakes II
FFP 317,R20,2,,
FFP 318,R20,1,,
FH 1031,S6,1,Franz Heigl ,Sudden Heat 
FH 1056,T10,4,Franz Heigl ,I Beg Your Pardon
FH 1062,V5,4,Franz Heigl ,Together 
FH 1063,M10,4,Franz Heigl ,Evening Reunion 
FH 1064,V5,3,Franz Heigl ,Missing You 
FH 1065,V5,1,Franz Heigl ,Feathers & Concepts 
FH 1066,M10,1,Franz Heigl ,Tears & Feathers 
FH 1067,V5,1,Franz Heigl ,Feather Concepts 
FH 1068,M10,1,Franz Heigl ,Blue Games I 
FH 1071,H5,1,Franz Heigl ,Evening Sun 
