name;unit1;unit2
TZAMI ΛΕΥΚΟ + ΠΛΑΤΗ;21;0,4
TZAMI ΜΑΤ + ΠΛΑΤΗ;25;0,4
ΤΖΑΜΙ AR70 + ΠΛΑΤΗ;118;0,4
ΤΖΑΜΙ AR99 + ΠΛΑΤΗ;248;0,4
PLEXIGLASS 1mm + ΠΛΑΤΗ;20,6;0,4
PLEXIGLASS 2mm + ΠΛΑΤΗ;31;0,4
PLEXIGLASS 3mm + ΠΛΑΤΗ;41,5;0,4
MONO TZAMI ΛΕΥΚΟ;13;0,4
ΜΟΝΟ ΤΖΑΜΙ ΜΑΤ;17;0,4
ΜΟΝΟ ΠΛΑΤΗ 2,5mm;8;0,4
ΜΟΝΟ ΠΛΑΤΗ 3mm;11;0,4
MONO ΠΛΑΤΗ 4mm;14,7;0,4
MONO ΠΛΑΤΗ 6mm;18,5;0,4
MONO ΠΛΑΤΗ 8mm;19,8;0,4
MONO ΠΛΑΤΗ 10mm;22;0,4
MONO ΠΛΑΤΗ 12mm;26;0,4
MONO ΠΛΑΤΗ 16mm;34,3;0,4
MONO ΠΛΑΤΗ 19mm;46;0,4
