reference,legend,image_url,quantity
1AI4380,Alessio Aprile - Silver Tree (detail),https://pg-plaisio.gr/img/p/6/9/3/5//6935.jpg,0
1AI4632,"Alessio Aprile - Treescape 1 (Subdued, detail)",https://pg-plaisio.gr/img/p/5/0/5/6//5056.jpg,0
1AI4633,Alessio Aprile - Treescape 2 (detail),https://pg-plaisio.gr/img/p/5/0/6/0//5060.jpg,0
1AI4634,"Alessio Aprile - Treescape 3 (Azure, detail)",https://pg-plaisio.gr/img/p/5/0/6/4//5064.jpg,0
1AI4729,Alessio Aprile - Actuality I,https://pg-plaisio.gr/img/p/5/0/6/8//5068.jpg,0
1AI4730,Alessio Aprile - Actuality II,https://pg-plaisio.gr/img/p/5/0/7/2//5072.jpg,0
1AI4731,Alessio Aprile - Aqualounge I,https://pg-plaisio.gr/img/p/5/0/7/6//5076.jpg,0
1AI4732,Alessio Aprile - Aqualounge II,https://pg-plaisio.gr/img/p/5/0/8/0//5080.jpg,0
1AI4733,Alessio Aprile - Crystal I,https://pg-plaisio.gr/img/p/5/0/8/4//5084.jpg,0
1AI4734,Alessio Aprile - Crystal II,https://pg-plaisio.gr/img/p/5/0/8/8//5088.jpg,0
1AI4743,Alessio Aprile - Tree Lines Gold,https://pg-plaisio.gr/img/p/5/0/9/2//5092.jpg,0
1AI4744,Alessio Aprile - Tree Lines I (detail),https://pg-plaisio.gr/img/p/5/0/9/6//5096.jpg,0
1AI4745,Alessio Aprile - Tree Lines Neutral,https://pg-plaisio.gr/img/p/5/1/0/0//5100.jpg,0
1AI4746,Alessio Aprile - Rusty Trees I,https://pg-plaisio.gr/img/p/5/1/0/4//5104.jpg,0
1AI4747,Alessio Aprile - Rusty Trees II,https://pg-plaisio.gr/img/p/5/1/0/8//5108.jpg,0
1AI4748,Alessio Aprile - Turquoise Trees I,https://pg-plaisio.gr/img/p/5/1/1/2//5112.jpg,0
1AI4749,Alessio Aprile - Turquoise Trees II,https://pg-plaisio.gr/img/p/5/1/1/6//5116.jpg,0
1AI5253,Alessio Aprile - Golden Tree on Grey,https://pg-plaisio.gr/img/p/1/9/9/6/4/19964.jpg,0
1AI5254,Alessio Aprile - Golden Tree on Red,https://pg-plaisio.gr/img/p/1/9/9/6/0/19960.jpg,0
1AI5255,Alessio Aprile - Red Tree on Aqua,https://pg-plaisio.gr/img/p/1/9/9/5/6/19956.jpg,130
1AI5256,Alessio Aprile - Red Tree on Gold,https://pg-plaisio.gr/img/p/1/9/9/5/2/19952.jpg,130
1AI529,Alessio Aprile - Direction I,https://pg-plaisio.gr/img/p/1/3/8/5/5/13855.jpg,0
1AI530,Alessio Aprile - Direction II,https://pg-plaisio.gr/img/p/1/3/8/5/1/13851.jpg,0
1AI6380,Alessio Aprile - Below My Tree II (detail),https://pg-plaisio.gr/img/p/2/3/4/6/7/23467.jpg,0
1AN1220,Cynthia Ann - Red Poppies (detail),https://pg-plaisio.gr/img/p/1/3/8/4/7/13847.jpg,0
1AN3420,Cynthia Ann - Red Poppies (detail II),https://pg-plaisio.gr/img/p/1/3/8/4/3/13843.jpg,0
1AN3724,Cynthia Ann - Tulips in Wonderland I,https://pg-plaisio.gr/img/p/1/0/3/5/0/10350.jpg,0
